time_us,abag_bias,abag_gain,abag_control,abag_ek_bar,local_vz
3219508, -0.066000, 0.048000, -0.114000, -1.000000, 0.102257
3229807, -0.067000, 0.049000, -0.116000, -1.000000, 0.103968
3240060, -0.068000, 0.050000, -0.118000, -1.000000, 0.054038
3250200, -0.070000, 0.052000, -0.122000, -1.000000, 0.052235
3260325, -0.071000, 0.053000, -0.124000, -1.000000, 0.105505
3270422, -0.072000, 0.054000, -0.126000, -1.000000, 0.105900
3280528, -0.073000, 0.055000, -0.128000, -1.000000, 0.050739
3290643, -0.074000, 0.056000, -0.130000, -1.000000, 0.103056
3300767, -0.076000, 0.058000, -0.134000, -1.000000, 0.052852
3310886, -0.077000, 0.059000, -0.136000, -1.000000, 0.100942
3321006, -0.078000, 0.060000, -0.138000, -1.000000, 0.050207
3331127, -0.079000, 0.061000, -0.140000, -1.000000, 0.101194
3341245, -0.080000, 0.061000, -0.019000, -0.500000, 0.049797
3351365, -0.080000, 0.062000, -0.142000, -0.625000, 0.097978
3361621, -0.080000, 0.063000, -0.143000, -0.718750, 0.099694
3371851, -0.081000, 0.064000, -0.145000, -0.789062, 0.051019
3381963, -0.083000, 0.066000, -0.149000, -0.881348, 0.099784
3392202, -0.083000, 0.065000, -0.018000, -0.411011, 0.049761
3402327, -0.083000, 0.066000, -0.149000, -0.558258, 0.096717
3412576, -0.083000, 0.067000, -0.150000, -0.668694, 0.099100
3422693, -0.085000, 0.069000, -0.154000, -0.813640, 0.098162
3432950, -0.085000, 0.068000, -0.017000, -0.360230, 0.048024
3443189, -0.085000, 0.069000, -0.154000, -0.520173, 0.097343
3453404, -0.085000, 0.070000, -0.155000, -0.640129, 0.094542
3463528, -0.085000, 0.068000, -0.153000, -0.422573, 0.092975
3473656, -0.085000, 0.069000, -0.154000, -0.566930, 0.095405
3483911, -0.085000, 0.068000, -0.017000, -0.175197, 0.046874
3494034, -0.085000, 0.067000, -0.152000, -0.381398, 0.093386
3504151, -0.085000, 0.068000, -0.153000, -0.536048, -0.000000
3514273, -0.085000, 0.066000, -0.151000, -0.364027, 0.091428
3524534, -0.085000, 0.067000, -0.152000, -0.523020, 0.091110
3534656, -0.085000, 0.066000, -0.019000, -0.142265, 0.045988
3544926, -0.085000, 0.065000, -0.150000, -0.356699, 0.091916
3555198, -0.085000, 0.063000, -0.148000, -0.263143, 0.094321
3565335, -0.085000, 0.062000, -0.147000, -0.447357, 0.094181
3575422, -0.085000, 0.061000, -0.024000, -0.085518, 0.046634
3585507, -0.085000, 0.060000, -0.145000, -0.314139, 0.091754
3595627, -0.085000, 0.058000, -0.027000, -0.114203, 0.044833
3605687, -0.085000, 0.057000, -0.142000, -0.335652, 0.092466
3615808, -0.085000, 0.056000, -0.029000, -0.001739, 0.046834
3625909, -0.085000, 0.055000, -0.140000, -0.251304, 0.095956
3636024, -0.085000, 0.053000, -0.032000, -0.078859, 0.045423
3646143, -0.085000, 0.052000, -0.137000, -0.309144, 0.094363
3656265, -0.085000, 0.051000, -0.136000, -0.481858, 0.096449
3666382, -0.085000, 0.050000, -0.035000, -0.111394, 0.049252
3676616, -0.085000, 0.050000, -0.135000, -0.500159, 0.050010
3686735, -0.085000, 0.051000, -0.136000, -0.625119, 0.102576
3696976, -0.085000, 0.052000, -0.137000, -0.718839, 0.102695
3707220, -0.086000, 0.053000, -0.139000, -0.789130, 0.050888
3717438, -0.088000, 0.055000, -0.143000, -0.881385, 0.104978
3727691, -0.089000, 0.056000, -0.145000, -0.911039, 0.054252
3737792, -0.090000, 0.057000, -0.147000, -0.933279, 0.108061
3748047, -0.091000, 0.058000, -0.149000, -0.949959, 0.106920
3758165, -0.093000, 0.060000, -0.153000, -0.971852, 0.110311
3768420, -0.094000, 0.061000, -0.155000, -0.978889, 0.109548
3778542, -0.095000, 0.062000, -0.157000, -0.984167, 0.056382
3788800, -0.096000, 0.063000, -0.159000, -0.988125, 0.113956
3798918, -0.098000, 0.065000, -0.163000, -0.993320, 0.059593
3809173, -0.099000, 0.066000, -0.165000, -0.994990, 0.117013
3819276, -0.100000, 0.067000, -0.167000, -0.996243, 0.058498
3829549, -0.101000, 0.068000, -0.169000, -0.997182, 0.117301
3839683, -0.102000, 0.069000, -0.171000, -0.997887, 0.117882
3849792, -0.104000, 0.071000, -0.175000, -0.998811, 0.116955
3860046, -0.105000, 0.072000, -0.177000, -0.999108, 0.117561
3870202, -0.106000, 0.073000, -0.179000, -0.999331, 0.057021
3880327, -0.107000, 0.074000, -0.181000, -0.999498, 0.113412
3890441, -0.109000, 0.076000, -0.185000, -0.999718, 0.058966
3900541, -0.110000, 0.077000, -0.187000, -0.999788, 0.118548
3910658, -0.111000, 0.078000, -0.189000, -0.999841, 0.057942
3920780, -0.112000, 0.079000, -0.191000, -0.999881, 0.117667
3930899, -0.114000, 0.081000, -0.195000, -0.999933, 0.058037
3941020, -0.115000, 0.082000, -0.197000, -0.999950, 0.116185
3951140, -0.116000, 0.083000, -0.199000, -0.999962, 0.114538
3961258, -0.117000, 0.084000, -0.201000, -0.999972, 0.058246
3971372, -0.119000, 0.086000, -0.205000, -0.999984, 0.117769
3981492, -0.120000, 0.087000, -0.207000, -0.999988, 0.060356
3991581, -0.121000, 0.088000, -0.209000, -0.999991, 0.117819
4001798, -0.122000, 0.089000, -0.211000, -0.999993, 0.058539
4012024, -0.124000, 0.091000, -0.215000, -0.999996, 0.118319
4022146, -0.125000, 0.092000, -0.217000, -0.999997, 0.057218
4032389, -0.126000, 0.093000, -0.219000, -0.999998, 0.112737
4042508, -0.127000, 0.094000, -0.221000, -0.999998, 0.117532
4052697, -0.129000, 0.096000, -0.225000, -0.999999, 0.113620
4062814, -0.130000, 0.097000, -0.227000, -0.999999, 0.116877
4072929, -0.131000, 0.098000, -0.229000, -0.999999, 0.059431
4083040, -0.132000, 0.099000, -0.231000, -1.000000, 0.120719
4093153, -0.134000, 0.101000, -0.235000, -1.000000, 0.118252
4103348, -0.135000, 0.102000, -0.237000, -1.000000, 0.120507
4113630, -0.136000, 0.103000, -0.239000, -1.000000, 0.058490
4123888, -0.137000, 0.104000, -0.241000, -1.000000, 0.116394
4133967, -0.139000, 0.106000, -0.245000, -1.000000, 0.059432
4144225, -0.140000, 0.107000, -0.247000, -1.000000, 0.120942
4154348, -0.141000, 0.108000, -0.249000, -1.000000, 0.059935
